PSC,Okres,Kraj
38472,3306,JC
38473,3306,JC
38473,3307,JC
38481,3306,JC
38486,3306,JC
38491,3306,JC
38492,3306,JC
38493,3306,JC
38501,3306,JC
38501,3404,PL
38601,3307,JC
38701,3307,JC
38706,3307,JC
38711,3307,JC
38715,3307,JC
38716,3307,JC
38719,3307,JC
38731,3307,JC
38732,3307,JC
38733,3307,JC
38734,3307,JC
38735,3307,JC
38736,3307,JC
38737,3307,JC
38742,3307,JC
38743,3307,JC
38751,3307,JC
38752,3307,JC
38756,3307,JC
38771,3307,JC
38772,3307,JC
38773,3307,JC
38775,3307,JC
38801,3307,JC
38901,3307,JC
39001,3308,JC
39002,3308,JC
39003,3308,JC
39005,3308,JC
39101,3308,JC
39102,3308,JC
39111,3308,JC
39116,3308,JC
39117,3308,JC
39118,3308,JC
39120,3308,JC
39121,3308,JC
39126,3308,JC
39127,3308,JC
39131,3308,JC
39132,3308,JC
39133,3308,JC
39135,3308,JC
39136,3308,JC
39137,3308,JC
39142,3308,JC
39143,3308,JC
39152,3308,JC
39153,3308,JC
39155,3308,JC
39156,3308,JC
39161,3308,JC
39162,3308,JC
39165,3301,JC
39165,3308,JC
39171,3308,JC
39172,3308,JC
39173,3308,JC
39174,3308,JC
39175,3308,JC
39176,3308,JC
39181,3308,JC
39201,3308,JC
39301,3304,VY
39401,3304,VY
39403,3304,VY
39404,3304,VY
39405,3304,VY
39409,3304,VY
39411,3304,VY
39412,3304,VY
39413,3304,VY
39414,3304,VY
39415,3304,VY
39421,3304,VY
39422,3304,VY
39424,3304,VY
39426,3304,VY
39427,3304,VY
39428,3304,VY
39443,3304,VY
39444,3304,VY
39445,3304,VY
39446,3304,VY
39451,3304,VY
39452,3304,VY
39456,3304,VY
39459,3304,VY
39461,3304,VY
39462,3304,VY
39463,3304,VY
39464,3304,VY
39468,3304,VY
39470,3304,VY
39491,3304,VY
39492,3304,VY
39493,3304,VY
39494,3304,VY
39495,3304,VY
39496,3304,VY
39501,3304,VY
39501,3308,JC
39601,3304,VY
39701,3305,JC
39801,3305,JC
39804,3305,JC
39806,3305,JC
39807,3305,JC
39811,3305,JC
39815,3305,JC
39816,3305,JC
39817,3305,JC
39818,3305,JC
39819,3305,JC
39821,3305,JC
39822,3305,JC
39831,3305,JC
39832,3305,JC
39833,3305,JC
39834,3305,JC
39835,3305,JC
39842,3305,JC
39843,3305,JC
39847,3305,JC
39848,3305,JC
39851,3305,JC
39852,3308,JC
39853,3305,JC
39855,3305,JC
39858,3305,JC
39859,3305,JC
39901,3305,JC
39901,3308,JC
39901,3211,ST
40001,3510,US
40002,3510,US
40003,3510,US
40004,3510,US
40007,3510,US
40010,3510,US
40011,3510,US
40301,3510,US
40302,3510,US
40313,3510,US
40317,3509,US
40317,3510,US
40321,3510,US
40322,3510,US
40323,3510,US
40327,3510,US
40331,3510,US
40332,3510,US
40334,3510,US
40335,3510,US
40336,3510,US
40337,3510,US
40338,3510,US
40339,3510,US
40340,3510,US
40502,3502,US
40505,3502,US
40701,3502,US
40702,3502,US
40703,3502,US
40711,3502,US
40713,3502,US
40714,3502,US
40715,3502,US
40716,3502,US
40717,3502,US
40721,3502,US
40722,3502,US
40723,3502,US
40724,3502,US
40725,3502,US
40729,3502,US
40741,3502,US
40742,3502,US
40744,3502,US
40745,3502,US
40746,3502,US
40747,3502,US
40751,3502,US
40752,3502,US
40753,3502,US
40755,3502,US
40756,3502,US
40757,3502,US
40760,3502,US
40761,3502,US
40777,3502,US
40778,3502,US
40779,3502,US
40780,3502,US
40781,3502,US
40782,3502,US
40784,3502,US
40801,3502,US
41002,3506,US
41101,3506,US
41103,3506,US
41108,3506,US
41111,3506,US
41112,3506,US
41113,3506,US
41114,3506,US
41115,3506,US
41116,3506,US
41117,3506,US
41118,3506,US
41119,3506,US
41120,3506,US
41121,3506,US
41131,3506,US
41132,3506,US
41133,3506,US
41141,3506,US
41142,3506,US
41145,3506,US
41146,3506,US
41147,3506,US
41148,3506,US
41155,3506,US
41156,3506,US
41162,3506,US
41164,3506,US
41171,3506,US
41172,3506,US
41173,3506,US
41174,3506,US
41181,3506,US
41182,3506,US
41183,3506,US
41184,3506,US
41185,3506,US
41186,3506,US
41187,3506,US
41201,3506,US
41301,3506,US
41501,3509,US
41503,3509,US
41510,3509,US
41701,3509,US
41702,3509,US
41703,3509,US
41704,3509,US
41705,3509,US
41712,3509,US
41713,3509,US
41722,3509,US
41723,3509,US
41724,3509,US
41725,3509,US
41731,3509,US
41741,3509,US
41742,3509,US
41752,3509,US
41753,3509,US
41754,3509,US
41757,3509,US
41761,3509,US
41762,3509,US
41763,3509,US
41765,3509,US
41771,3509,US
41772,3509,US
41781,3509,US
41801,3509,US
41804,3509,US
41901,3509,US
43001,3503,US
43003,3503,US
43004,3503,US
43101,3503,US
43102,3503,US
43111,3503,US
43114,3503,US
43115,3503,US
43121,3503,US
43132,3503,US
43141,3503,US
43143,3503,US
43144,3503,US
43145,3503,US
43151,3403,KA
43151,3503,US
43153,3503,US
43154,3503,US
43155,3503,US
43156,3503,US
43157,3503,US
43158,3503,US
43159,3503,US
43163,3503,US
43182,3503,US
43183,3503,US
43184,3503,US
43186,3503,US
43191,3503,US
43201,3503,US
43401,3508,US
43501,3508,US
43502,3508,US
43511,3508,US
43513,3508,US
43521,3508,US
43522,3508,US
43524,3508,US
43526,3508,US
43532,3508,US
43533,3508,US
43542,3508,US
43543,3508,US
43545,3508,US
43546,3508,US
43547,3508,US
43601,3508,US
43603,3508,US
43801,3503,US
43801,3507,US
43901,3507,US
43902,3507,US
43903,3507,US
43904,3507,US
43905,3507,US
43906,3507,US
43907,3507,US
43908,3507,US
43909,3507,US
43914,3507,US
43915,3507,US
43921,3507,US
43922,3507,US
43923,3507,US
43924,3507,US
43926,3507,US
43931,3507,US
43942,3507,US
43949,3507,US
43963,3507,US
43965,3507,US
43967,3507,US
43968,3507,US
43969,3507,US
43971,3507,US
43972,3507,US
43975,3507,US
43981,3507,US
43982,3507,US
43983,3507,US
43984,3507,US
43985,3507,US
43986,3507,US
43987,3507,US
43988,3507,US
44001,3507,US
44101,3403,KA
44101,3503,US
44101,3507,US
46001,3505,LI
46005,3505,LI
46006,3505,LI
46007,3505,LI
46008,3505,LI
46010,3505,LI
46014,3505,LI
46015,3505,LI
46303,3505,LI
46311,3505,LI
46312,3505,LI
46331,3505,LI
46334,3505,LI
46342,3504,LI
46342,3505,LI
46343,3505,LI
46344,3505,LI
46345,3505,LI
46346,3505,LI
46348,3505,LI
46352,3501,LI
46352,3505,LI
46353,3505,LI
46362,3505,LI
46365,3505,LI
46373,3505,LI
46401,3505,LI
46601,3504,LI
46602,3504,LI
46604,3504,LI
46605,3504,LI
46606,3504,LI
46801,3504,LI
46802,3504,LI
46803,3504,LI
46804,3504,LI
46811,3504,LI
46812,3504,LI
46821,3504,LI
46822,3504,LI
46824,3504,LI
46825,3504,LI
46826,3504,LI
46827,3504,LI
46833,3504,LI
46841,3504,LI
46843,3504,LI
46844,3504,LI
46845,3504,LI
46846,3504,LI
46847,3504,LI
46848,3504,LI
46849,3504,LI
46850,3504,LI
46851,3504,LI
46861,3504,LI
46871,3504,LI
47001,3501,LI
47002,3501,LI
47006,3501,LI
47101,3501,LI
47102,3501,LI
47103,3501,LI
47104,3501,LI
47105,3501,LI
47106,3501,LI
47107,3501,LI
47108,3501,LI
47111,3501,LI
47112,3501,LI
47113,3501,LI
47114,3501,LI
47115,3501,LI
47116,3501,LI
47117,3501,LI
47118,3501,LI
47121,3501,LI
47123,3501,LI
47124,3501,LI
47125,3501,LI
47125,3505,LI
47126,3501,LI
47127,3501,LI
47128,3501,LI
47129,3501,LI
47141,3501,LI
47151,3501,LI
47152,3501,LI
47153,3501,LI
47154,3501,LI
47155,3501,LI
47156,3501,LI
47157,3501,LI
47158,3501,LI
47161,3501,LI
47162,3501,LI
47163,3501,LI
47167,3501,LI
47201,3501,LI
47301,3501,LI
50002,3602,KR
50003,3602,KR
50004,3602,KR
50006,3602,KR
50008,3602,KR
50009,3602,KR
50011,3602,KR
50012,3602,KR
50301,3602,KR
50302,3602,KR
50303,3602,KR
50304,3602,KR
50305,3602,KR
50306,3602,KR
50311,3602,KR
50312,3602,KR
50313,3602,KR
50314,3602,KR
50315,3602,KR
50316,3602,KR
50321,3602,KR
50322,3602,KR
50323,3602,KR
50324,3602,KR
50325,3602,KR
50326,3602,KR
50327,3602,KR
50331,3602,KR
50332,3602,KR
50333,3602,KR
50341,3602,KR
50343,3602,KR
50344,3602,KR
50346,3602,KR
50346,3607,KR
50351,3208,ST
50351,3602,KR
50352,3602,KR
50353,3602,KR
50354,3602,KR
50355,3602,KR
50356,3602,KR
50357,3602,KR
50361,3602,KR
50362,3602,KR
50363,3602,KR
50364,3602,KR
50365,3602,KR
50366,3602,KR
50401,3602,KR
50601,3608,LI
50601,3604,KR
50702,3604,KR
50703,3602,KR
50703,3604,KR
50704,3604,KR
50705,3604,KR
50706,3604,KR
50707,3604,KR
50711,3604,KR
50712,3604,KR
50713,3604,KR
50713,3608,LI
50715,3604,KR
50721,3604,KR
50722,3604,KR
50723,3604,KR
50724,3604,KR
50731,3604,KR
50732,3604,KR
50733,3604,KR
50734,3604,KR
50742,3604,KR
50743,3604,KR
50744,3604,KR
50745,3604,KR
50752,3604,KR
50753,3604,KR
50754,3604,KR
50758,3604,KR
50759,3604,KR
50771,3604,KR
50773,3604,KR
50777,3604,KR
50781,3604,KR
50782,3604,KR
50791,3604,KR
50791,3608,LI
50792,3604,KR
50801,3604,KR
50901,3604,KR
51101,3608,LI
51201,3608,LI
51202,3608,LI
51203,3608,LI
51204,3608,LI
51206,3608,LI
51211,3608,LI
51212,3608,LI
51213,3608,LI
51231,3608,LI
51232,3608,LI
51233,3608,LI
51234,3608,LI
51235,3608,LI
51236,3608,LI
51237,3608,LI
51238,3608,LI
51241,3608,LI
51242,3608,LI
51243,3608,LI
51244,3608,LI
51245,3608,LI
51246,3504,LI
51247,3608,LI
51251,3608,LI
51252,3608,LI
51253,3608,LI
51261,3608,LI
51263,3604,KR
51263,3608,LI
51264,3608,LI
51265,3608,LI
51271,3608,LI
51301,3608,LI
51401,3608,LI
51601,3607,KR
51603,3607,KR
51701,3607,KR
51702,3607,KR
51703,3607,KR
51704,3607,KR
51711,3607,KR
51712,3607,KR
51721,3607,KR
51722,3607,KR
51723,3607,KR
51724,3607,KR
51725,3607,KR
51731,3607,KR
51732,3607,KR
51733,3607,KR
51734,3607,KR
51735,3607,KR
